Id,CaptionText,Category
47,From our road trip to Figueres and Cadaqus to visit Salvador Dali Museum and his house. This is the beach at a fishing village we stopped at for lunch. #beach #fishingvillage #salvadordali #cadaques #spain #espana     #travelspain #art #surrealism #memories #trips #adventure #tourist #lovespain #BCNInspira,EU
48,tribal feels #Igorot #tb   #baguio,APAC
49,into the woods #tb   #baguio,APAC
50,  Books at Indonesian bookstore that made me amazedresemblance of bahasa indonesia & filipino terms. #bahasaIndonesia #filipino #tagalog #pampango #similarVocabulary #ancestors #descendants #southeastAsia #latepost,APAC
51,levitation #tb   #baguio,APAC
52,Ancient monastery perched upon rock pillars at #meteora. Centuries ago hermit monks found refuge from war and upheaval by establishing monasteries high upon rock pinnacles.  #greece #latergram  .,EU
53,#vaipraonde #BsAs #BuenosAyres #Argentina #positivevibe #Pora    #demalasprontas  #instatravel #RMviaja #saboresdomundo #triplovers #traveltheworld ...         ,AMERICA
54,View of Lake Pichola from the City Palace Udaipur. #Udaipur #CityPalace #LakePichola #CityOfLakes #HotelLakePalace #Taj #Road #RajasthanTourism #IndianTraveler #Indiapost #TravelDiary     #RajputDynasty,APAC
55,#ByahengNorte  #Ilocos #norte   #CezaDExplorer,APAC
56,Views of Barcelona from the Nativity Faade of Sagrada Famlia. #sagradafamilia #nativityfacade #barcelona #bcn #BCNinspira     #adventure #paradise #wordheritagesites #unesco #fujifilm #x30,EU
57,Take time to do what makes your soul happy!   #traveldiaries #norway #oslowithLove,EU
58,Last year same date I was un #chiangmai in #thailand visiting beautiful boudhiste temple !! #saturdaymorning#memories #travel#tb#throwback#temple#boudhiste#dragon,APAC
59, |   |   |  @gardaveryspecial #como #lakecomo #comolake#italy #ilovemywork #annandrey2014 #italywedding #villadelbalbianello #villaitaly #villainintaly #villaforwedding #balbianello #couple #rainy #weddingshoes #bride #gettingready #alexdemin#bridalbouquet #wedding #weddingbouquet #weddingflowers #weddingdetails  #5dm3,EU
60,El Nido 2014 #OntopoftheWorld @nokeilene @itsfuntobedags  ,APAC
61,  #Street #Arts  #WallPainting #Journey #Destination #RoadTrip #LonelyPlanet # #Happiness #LiveFreely #LiveSimply #GeorgeTown #PenangMalaysia #travelgood #Travelmore #,APAC
62,  #Street #Arts #BigKitty #WallPainting #Journey #Destination #RoadTrip #Backpackers #Friends #RoadTrip #LonelyPlanet #Explorers #Travelers #Wanderers #Happiness #LiveFreely #LiveSimply #GeorgeTown #PenangMalaysia #travelgood #Travelmore #,APAC
63,Exactly last year our love for each other was locked! #HeySeoulSister   #korea Laugh trip ang boots vs Fitflops! Tiis ganda lang ang peg! Thats the good thing when I travel with my sister walang arte walang kiyeme! Pinagtatawanan lang namin ang isat isa! Nakakamiss ka @jelomejell #sisterlove #family #throwback #tbt #TiisGanda,APAC
64,#PagaruyungPalace#SumateraBarat#Indonesia#Throwback ..,APAC
65,  #WondersoftheWorld #LonelyPlanet #WorldHeritage #SiemReap #Province #Cambodia #RoadTrip #travelgood #Travelmore #LiveSimply #LiveFreely #,APAC
66,I wanna go back to this kind of #paradise  #nassau#bahamas #beach please,AMERICA
67,    #adventure   #Thailand #kohchang #flowers # #,APAC
68,#Thailand #Night #Bangkok #Baiyoke #Baiyokesky #Baiyoketower #centralworld     # # #,APAC
69,  #RoadTrip #ExploreR #Wanderer #Backpacker #SoloTraveler #JonkerWalk #JonkerStreet #CentralDistrict #LonelyPlanet #Malacca #Melaka #WorldHeritageSite #Malaysia #Live #Life #LiveFreely #LiveSimply #,APAC
70,After 8 hours of hiking.. Across savannah grassland and Bukit Penyesalan (almost 70 degrees steep) here i am at Plawangan Sembalun Crater Rim 2639 metres elevation.. Kulit pun dah rentung dah . . #roadtorinjani #notakembaradarinusatenggara #mountrinjani #gunungrinjani #greenplanet #hiker #hikingdoctor #craterrim #sembalunplawangan #lombok #indonesia #LingkarIndonesia #jalan2man   #trekkingrinjani #travellingdoctor #natgeo #naturelover #natureadventure #globetrekker #goodvibe #iger #ig_travel #ig_malaysia #ig_indonesia #anewbreedoftraveller #sharetravelpic,APAC
71,All I want is a small house a cottage for me and my small family surrounded by beautiful garden a lawn river flowing clear beautiful skies and away from city hustle and bustle. #dream #house     #throwback #rotorua #newzealand,APAC
72,5am morning alms is Luang Prabang Laos... My favorite city of all time!! #monk #alms #laos #latergram   #travelstoke #travelgram   #luangprabang #adventure #rtw #photooftheday #abroad #seasia #seasiabackpacker #d90 #nikontop #nikon,APAC
73,#notakembara Ibu.. Aku kembara lagi Hidup di kota besar aku banyak di lenakan oleh keadaan.. Dimanjakan dengan semua fasilitas yang ada.. .Entah.. Ibu.. Kini aku kembara.. Kembara untuk melihat keagungan ciptaan tuhan semesta alam.. Ibu.. Cerita ini aku tulis tika di Desa Sembalun.. Nusa Tenggara.. Sebuah desa dimana keindahan alam memancarkan indera.. Dari desa ini aku bisa menyaksikan megahnya puncak Rinjani hijaunya padang savannah sembalun.. Ibu.. Aku kembara lagi.. Penjalanan aku kini bukan mudah.. Setiap titis keringat yang menitis.. Meningatkan aku tentang kebesaran yang Maha Esa.. Namun.. Berkat doamu ibu.. Puncak Rinjani bisa aku tawani.. . TO BE CONTINUED... . #roadtorinjani #gunungrinjani #mountrinjani #hiker #hikingdoctor #lombok #indonesia #nusatenggara #natgeo #naturelover #natureadventure #hijaubumituhan #goodvibe #puisi #nukilan #backpacker #trekkingrinjani   #travellingdoctor #iger #ig_travel #ig_malaysia #ig_indonesia #LingkarIndonesia,APAC
74,Cambodia Sunset :) #touristmode   #michizastraveldiary,APAC
75,Green is the prime color of the world and that from which its loveliness arises  Pedro Calderon de la Barca . Selamat Pagi Dunia . #qotd #quote #gogreen #greenplanet #naturelover #green #hijaubumituhan #pencintaalam #hikingdoctor #hiking #mountrinjani #gunungrinjani #lombok #indonesia #desasembalun #plawangan #pos2   #travellingdoctor #backpacker #roadtorinjani #iger #smile #ig_travel #ig_malaysia #ig_indonesia,EU
76,Throw back tuesday   #navypier #chicago #bestfriendgoals,AMERICA
77,Sunrise in Playa Maroma Mexico Vacation 2014<3 #beachsunrise #sunrise #beachsunrises #beach #beachsunrisesarethebest #ocean #beautiful #sunrise_sunsets_aroundworld #beachlife #sunriselovers #sky #instagood #instadaily #atlanticave #sun #picoftheday #sunrises #love #beachsunsets #travelstoke #sundaymorning #palmbeaches #morningwalk #morning #mexico #cancunvacation   #cocoabeach #serenephotography #saltlife,AMERICA
78,Perfect shot  Harbour Bridge and Opera House at the Background. This was taken while at the ferry going to Manly Beach. Now I miss travelling!!  photo credit: @mallows_ig    #Operahouse #HarbourBridge #EnjoyingLife #Sydney #Australia,APAC
79,#prospetti #architettura #palazzi #toscani #pisa   #face #building #architecture #italy #ig_italy #decor #color #river,EU
80,#Repost @bint__mahmood  #abudhabi #skyscrapers #UAE     #travelgram #toolazytocaption ,APAC
81,#abudhabi #skyscrapers #UAE     #travelgram #toolazytocaption ,APAC
82,UAEstyle.      #UAE #abudhabi #hotel ,APAC
83,All gold.  #UAE #abudhabi #hotel   #travelgram   ,APAC
84,PostJumuah. Desis>locals  #UAE     #travelgram #abudhabi #desertbeauty #Masjid,APAC
85,Lil boy patiently awaiting his mumma  #UAE #jumu #abudhabi     #Masjid,APAC
86,#UAE #Masjid     #travelgram #desertbeauty #Minaret #abudhabi,APAC
87,Pillar and ceiling details.  #UAE #abudhabi     #travelgram ,APAC
88,   #travelgram #UAE #jumu #Masjid #Minaret   #abudhabi,APAC
89,White tiles glare  #desertbeauty     #travelgram #UAE #abudhabi #Masjid ,APAC
90,Desert beauty.    #UAE #abudhabi   #travelgram ,APAC
91,Mentari Di Ufuk Timur  . #throwback #yukata #arashiyama #bambooforest #spring #japan #landofrisingsun   #travellingdoctor #passionpassport #projectvacation #galakjalan #anewbreedoftraveller #sharetravelpic #wanderlust #vsco #phonto #ig_malaysia #ig_travel #ig_japan,APAC
92,  #3D #Art #Museum #Fun #Interactive #GeorgeTown #Explore #RoadTrip #Penang #Malaysia #,APAC
93,  #RoadTrip #Wanderer #Explorer #LonelyPlanet #TouristDestination #WorldHeritage #WondersOfTheWorld #instapic #instagood #Instatravel #Life #Live #BeHappy #SiemReap #Province #Cambodia #KeepCalm #TravelMore #,APAC
94,  #PubStreet #RoadTrip #Wanderer #Explorer #LonelyPlanet #TouristDestination #WorldHeritage #WondersOfTheWorld #instapic #instagood #Instatravel #Life #Live #BeHappy #SiemReap #Province #Cambodia #KeepCalm #TravelMore #,APAC
95,  #RoadTrip #Wanderer #Explorer #LonelyPlanet #TouristDestination #WorldHeritage #WondersOfTheWorld #instapic #instagood #Instatravel #Life #Live #BeHappy #SiemReap #Province #Cambodia #KeepCalm #TravelMore #,APAC
96,  #Italy #Positano  ,EU
97,Throwback time Australia Gold coast movie world! #australia #goldcoast #movieworld #ride   #travelbuddies #travelmate #vscocam #vsco,APAC
98,Throwback time! Taking picture with austin power #goldcoast #movieworld #pose #travelbuddies   #travelmate #vscocam #vsco,APAC
99,Throwback time goldcoast beach sufers paradise #australia #goldcoast #surfersparadise   #travelbuddies #travelmate #vscocam #vsco,APAC
100,Summer Is Near... #summer #maldives #clubmedkani #ClubMedHappy #happinessday #missingmaldives #sun #sea #sand #sky #blue #white #beachlover #traveller   #throwbackpic #jumphigh #jumpshot #livelifelove,APAC
101,   Disegno anglico e non humano    Michelangelo #Roma #Pantheon #bellissimo  ,EU
102,#Georgia#Sakartvelo#Tbilisi###thebeauty ###,APAC
103,A shot of the castle housing the Museu Nacional dArt de Catalunya. #BCNinspira #Barcelona #BCN #Spain #Espana #MuseuNacionaldArtdeCatalunya #catalunya     #architecture #design #adventure #art  #travelphoto #travelspain #cityexploration,EU
104,Pra lembrar [3] #argentina #LaPlata     #viagem,AMERICA
105,Throwback time Australia movie world #australia #goldcoast #movieworld #ride #batman   #travelbuddies #vscocam #vsco,APAC
106,Throwback time! Wet & wild Goldcoast  Australia #australia #goldcoast #wetnwild #fun   #travelbuddies #travelmate #vscocam #vsco,APAC
107,Throwback time goldcoast! Sunset #goldcoast #sunset #beautiful   #travelbuddies #travelmate #vscocam #vsco,APAC
108,S A L A M J U M A A T . #salamjumaat #salamtajmahal #tajmahal #agra #northindia #incredibleindia #india #projectvacation #sharetravelpics #traveller   #travellingdoctor #travellingbuddies #travelphotography #backpacker #backpacking2014 #backpackerbuddies #goodvibe #ig_india #ig_malaysia,APAC
109,#matryoshkas #russia #idontknowwhyineverpostedthis pic #drawing     #draw #k,EU
110,Here we go! Superman escape! #goldcoast #movieworld #supermanescape #travelbuddies   #vscocam #vsco,APAC
111,Throw back time! Goldcoast airport! Going back sg #goldcoastairport #travelbuddies   #seeyousoon #willcomebackhere #missgoldcoast #vscocam #vsco,APAC
112,#canal #canaldumidi #water     #september #travelgram #travelling #instapic #instatravel #france #holidays #family #familytrip,EU
113,#france #canaldumidi #canal #boat #water     #holidays #travelgram #instatravel #instapic #travelling,EU
114,#canaldumidi #canal     #instatravel #instapic #travelgram #travelling #france,EU
115,#france #castle #carcassone     #instatravel #instapic #september,EU
116,Throwback time goldcoast movie world #goldcoast #movieworld #pose   #travelbuddies #travelmate #vscocam #vsco,APAC
117,Throwback time goldcoast #goldcoast #movieworld #supermanescape #rollercoster #ride #hoilday   #travelbuddies #travelmate #vscocam #vsco,APAC
118,Asakusa.Disneyland.Mtfuji.Uenopark.Shibuya #tbt #tokyo #japan  ,APAC
119,#france #sacrcoeur #montmartre #basilica #paris     #september #travelgram #travelling #holidays #familytrip #voyage #exploring #church,EU
120,Team Destiny.. #gangnam #gyeongbukgung #lotteworld #tbt #seoulkorea  ,APAC
121,#galaxymacau #mgmmacau #macautower #tbt #macau2014  ,APAC
122,#france #holidays   #exploring   #september #instapic #instatravel #travelgram #travelling #reflection,EU
123,#france #exploring #holidays     #instatravel #instapic #september #view #travelgram #travelling,EU
124,#france     #instatravel #instapic #water #stream #september #travelgram #holidays #mountain #exploring,EU
125,_____summer 2014_____ #summer #2014 #memories #holidays #happiness #palm #sea #friends #roadtrip   #porquerollesisland #island  #frenchriviera #spain #lake #hossegor ,APAC
126,F.R.I.E.N.D.S . #autumn #xian #china #friends #goodvibe #gingkolane #terracotamuseum #walk #travellingbuddies #backpackerbuddies #throwback   #travelgram #travelogue #travellingdoctor #backpacker #backpacking2014 #iger #ig_travel #ig_china #ig_malaysia,APAC
127,Athenas first sandwalking experience. Athena the explorer.   #Surigaodelsur #wanderlust #babylove #babyathena #cutiepatotie #Lawisbeach #beachlove,OTHERS
128,Im officially missing you Marina Bay Sands Singapore!! Tsk3x....   #thankyouproweaver,APAC
129,The New York city skyline in all its glory from the top of the empire state buildings 86th floor. #NYC #NewYorkCity #EmpireStateBuilding #NYCSkyline #Manhattan #Explorenyc #newyorknewyork #ilovenyc #us     #citylife #urbanphoto #skyline #vsco #vscocam,AMERICA
130,   ) #vscocam #vscogrid #vscopic #nightcity #night   #summer2014 #Astana,APAC
131,#vscocam #vscogrid #vscopic #summer2014   #Astana,APAC
132,#vscocam   #vscogrid #vscobest #vscopic  #summer2014,OTHERS
133,#mylove #myheart #memoirs   #summer2014 #astana #vscocam #vscopic #vscobest,APAC
134,#vscocam #vsco_goodlife #vscogrid #vscobest   #summer2014 #Astana,APAC
135,#vscocam #vscobest #vscotravel   #summer2014 #astana,APAC
136,#vscocam #vscobest #vscogrid #vsco_goodlife    #Astana,APAC
137,#memoirs    #vscocam #vscogrid #vscobest #Astana,APAC
138,#vscocam #vscogrid #vscopic #vsco #vscobest    #instapic #instavscocam,OTHERS
139,If were destroying our trees and destroying our environment and hurting animals and hurting one another and all that stuff theres got to be a very powerful energy to fight that. I think we need more love in the world. We need more kindness more compassion more joy more laughter. I definitely want to contribute to that  Ellen DeGeneres . Good Night World  . #smile #laugh #joy #qotd #quote #ootd #HEbyMango #ZARAjeans #throwback #ditanpark #gingkolane #autumn #beijing #china #traveller   #travelgram #travelogue #travellingdoctor #travelphotography #friends #backpackerbuddies #backpacker #anewbreedoftraveller #asianguy #asianmen #iger #ig_travel #ig_china #ig_malaysia,APAC
140,    @v.e.80        ) #vscocam #vscobest #vscopic #vscogrid #vsco_goodlife   #summer2014  #Astana,APAC
141,CREDIT: @audrey.trinita  #china #traveling     #winter2k14 #nanning #yunnan #december14 #holiday #asia #omg #cool #ipstagram #car #vscocam #wannaholiday #love #life #happy #family #fun #smile #miss #sleep ,APAC
142,#InstaMagApp @fotorus_official.   ,OTHERS
143,Traveling the world with the family is the best thing ever. .,OTHERS
144,Christ Church in Shimla #Shimla #Himachal #Church #ReligiousPlace #NightClick #MallRoad #Crowded #IndianTraveler #Indiapost   #BuiltIn1857 #OneOfTheOldestChurchesInIndia,APAC
145,Left my in Paris.Ill keep coming back. @srustia6 #toureiffel#paris  #TheRustiaTravels #BoomParis #memoriestolastalifetime,EU
146,tumiTLC lang sa peg at ski dubai march lsdt year. winter in korea or japan next? @i_am_hazell #wengers #skidubai   #tbt #uae #dubai,APAC
147,it was the Best Trip ever it was fun to be able to meet people from back in the day there The Story Recalled old Faces to my mind  #tb #jakarta2014   #tangkubanperahu #jakarta #indonesia #bandung #happydays # # # #travelhyper #instaphoto #linecamera #instagood,APAC
148, 2014 Travels in 15 seconds  #LatePost#Video#Collage#Past#Vacation#Japan#Tokyo#Oguni#Vietnam#Saigon#NhaTrang#RiceFields#Peru#MachuPicchu#Amazon#Canoe#LakeTiticaca#IncaRuins#WhereToNext#Videography#Travel#World#FirstVideo#Asia#SouthAmerica #Travels#TravelTheWorld#AroundTheGlobe#Globe,APAC
149,La Ganette a cute little village where the population can be counted by your fingers and the size is not bigger than a small housing estate in Indonesia. A sweet escape from your daily hustle bustle. #triplooker,APAC
150,Get along with nature ,OTHERS
151,View from afar; Gardens By The Bay #Singapore #instagramplace #instagramtravel #igtravel #travelgram #instatravel #Asia #vsco #vscocam #vscophil #vscoph  ,APAC
152,W A N D E R L U S T 2014.,OTHERS
153,When in Iloilo. Athena the explorer.   #throwback #babylove #babyathena #cutiepatotie #iconicchurch #worldheritage #MiagaoChurch,APAC
154,Nakakamiss yung feeling ng tatalon ka mula dun sa mga bato pagkatapos ng nakakalokang pagakyat. Walang ibang pangamba. Tatalon ka lang. Magtitiwala lang. Alam mong walang mangayaring masama.  #kawasan   #cebu #convertrip #DIYingToTravel #missing #badian #noFears #YourLoveIsLikeAWaterFall,APAC
155,#snapcollage #collage @cushwayapps   #europe #MunichGermany #eastergetaway #throwbackthursday,EU
156,SUMMERfeels! #babylove #cutiepatotie #babyathena   #wanderlust #guimaras #islandhopping #throwback,OTHERS
157,#Thailand #kohchang #sea #beach     #seaview # #,APAC
158,#memories   #orlando ,AMERICA
159, 5     #czech #rainyprague,EU
160,#ArcdeTriomphe    #Paris,EU
161,missin our sg tour. ngaun nasa sg ka ulit pro pinas ako pro malapit ka na din uwi dito. ilan days na lng hon. #sg2014 #loversinsg #hon #merlion   @despicable_lme,APAC
162,# #_ #_ #may2014   #Memory_remains #,OTHERS
163,    #istambul #june2014   #_ #Memory_remains,APAC
164,#rome   #italy #throwback,EU
165,A selfie with the beautiful scenery of Portlligat by Salvador Dals House Museum near Cadaqes In the province of Girona Catalonia Spain. #cadaqes #girona #catalonia #spain #Barcelona #BCNinspira #explorespain #espana #selfie   #fishingvillage #fishingport #salvadordali #salvadordalihousemuseum     #landscape #nature,EU
166,#india #indiatrip     #money #mumbai #wanderlust,APAC
167,None,OTHERS
168,Jump! #2014 #korea   #winter #snow,APAC
169, #2014 #korea   #snow #winter,APAC
170,#2014 #korea  #snow #winter  ,APAC
171,#2014 #korea #winter  ,APAC
172, #2014 #korea #tourist   #winter,APAC
173, #2014 #korea #  ,APAC
174,Skiing in Gulmarg Kashmir.. Listed by Lonely Planet as one of weirdest place for skiing .. 500 rupee including gondola ride..  . #throwback #tb #skiing #gulmarg #kashmir #winter #india #northindia #_!ncredibleindia #traveller   #travelgram #travelogue #travellingdoctor #travelphotography #backpacker #backpacking2014 #naturelover #natureadventure #iger #ig_malaysia #ig_india #anewbreedoftraveller,APAC
175,#yazdankalma #rize #ayeli #karadeniz #Beikta   #venividi #gezdim #grdm #yedim #ayelindenteye,OTHERS
176,#december2014   #Memory_remains,OTHERS
177,     2015 .        #december2014   #hot_rock #beach #Memory_remains,OTHERS
178,#qatar_airways          #december2014   #Memory_remains #,OTHERS
179,        .        #Memory_remains #december2014   #,OTHERS
180,        # #september2014   #Memory_remains #,OTHERS
181,    # #_ # #september2014   #Memory_remains,OTHERS
182,#   #     #Memory_remains #september2014  ,OTHERS
183,     365 .    # #september2014   #Memory_remains # #,OTHERS
184,    #           . # #september2014   #Memory_remains #,OTHERS
185, #.             # # #september2014   #Memory_remains,OTHERS
186, .             .  # #   #_ #may2014,OTHERS
187, #korea #2014 #winter #  ,APAC
188, #korea #2014 #winter #black #white  ,APAC
189, #korea #2014 #winter  ,APAC
190, #    # #   #april2014 #Memory_remains,OTHERS
191,#          # #   #april2014 #Memory_remains,OTHERS
192,  #        #april2014 # #Memory_remains,OTHERS
193,This is my life this is me this is who I am and who I want to be. I will not change!! Judge me you wont be the first. But remember I am extraordinary. #CR7 #cristiano #ronaldo #rkoi #ballin #belgium #rich #addme #on #snapchat #gagnamboy69 #greygoose   #lacollesurloup #likeforlike #lfl #followforlike #ffl add me on snapchat: #gagnamboy69 #jesuismaarten,EU
194,  #june2014 #istambul #Memory_remains,APAC
195,       #Memory_remains #may2014 # #,OTHERS
196, # #wanderlust# #SG# #adventure#,APAC
197,Hello USS #frenny# #lovelove# #superfun# #superhappy#  #,APAC
198,#Memory_remains   #may2014 #cats #_ #,OTHERS
199,#_ #   #may2014,OTHERS
200,#deoxyribonucleic# #bridge# #purplelights#  #,OTHERS
201,ONE day someone will walk into your life and make you see why it never worked out with anyone else.  # #wanderlust#,OTHERS
202,#Memory_remains   #may2014 #beach #perfect,OTHERS
203,Ohhhhhh I wanna be with you everywhere. I wanna be with you everywhere. ,OTHERS
204,Whit the best !!! #instamoment #instagram #instachile #instamexico #instaboy #instacam #Bafut   #bff,AMERICA
205, Siempre Juntas  #Friends #Disney  ,OTHERS
206,#timehop #macau  ,APAC
207,DUBAI STAMP.. this one was on my dubai itinerary list..happy got a chance to do it..though it was not that easy than i thought..almost feel down.. #moment #experience #simplepleasure      #dubai #dubai2014 #latepost #exploredubai #dubaisafari #camelride #bringitOn #grabthemoment #trysomethingnew #faceYourFear #happiness #wenatraveldiaries #wenatravelbitz #wanderlust #mybucketlist #fullfilled #checked,APAC
208,   We can make ourselves miserable happy or strong. The amount of work is just the same.   castenada #choice #happiness #life #choosetolive #liveLifetotheFullest #positivevibes     #latepost #dubai #dubai2014 #jumeirahbeach #Live #Happy #moment #wenatravelbitz #wenatraveldiaries #wanderlust,APAC
209,#tbt to the peacefulness of the Borneo jungle @radoja17 #malaysia #borneo  ,APAC
210,  #Croatia #Zagreb   #summer,EU
211,#ihearttravel   #sunshinestate #florida #funtimes #bestgiftever #universal #universalstudios #harrypotterworld #harrypotter #hogwarts,AMERICA
212,#ihearttravel   #sunshinestate #florida #funtimes #bestgiftever #universal #universalstudios #harrypotterworld #harrypotter #butterbeer #yum,AMERICA
213,#ihearttravel   #sunshinestate #florida #funtimes #bestgiftever #universal #universalstudios #harrypotterworld #harrypotter #hogwarts #hogwartsexpress,AMERICA
214,#ihearttravel   #sunshinestate #florida #funtimes #bright #vaca #vacation #colorful #madeintheshade,AMERICA
215,#ihearttravel   #sunshinestate #florida #funtimes #bright #vaca #vacation #colorful #madeintheshade,AMERICA
