C,a,t,e,g,o,r,y,Category,CaptionText
A,M,E,R,I,C,A,,AMERICA,#vancouver #canada #BC #vancity #lovevancouver #travel2014
A,P,A,C,,,,,APAC,"""We found wonderland. You and I got lost in it."" #iphone5s #iphonephotos #iphonephotography #travelPH #travel2014 #Manila #date #romantic #wanderlust #dateplace #restaurants #vintage #argentine"
A,P,A,C,,,,,APAC,Let your scars remember the people who caused them. #love #lovequotes #quotes #iphone5s #iphonephotos #iphonephotography #travelPH #travel2014 #Tagaytay #food #foodphotography #foodtrip #goodfood #bread #wood #wanderlust #vacation #ouydoor #alfresco #dinner #finedining
A,M,E,R,I,C,A,,AMERICA,Cold but nice weather in #vancouver #canada #BC #vancity #lovevancouver #travel2014 #englishbay
O,T,H,E,R,S,,,OTHERS,"Bu sz bana gelsin 
''Ne bu dertler kalc ne bu mr baki beyim.
Sen doru yolda yrdn, eilip bklmedin.'' #Dirili
#travel2014 #stanbul #Aydnniversitesi #Haziran #tercih2014"
A,P,A,C,,,,,APAC,"""Family"" dinner #iphone5s #iphonephotos #iphonephotography #travelPH #travel2014 #Tagaytay #Philippines #travel travelphotos #dinner #dinneralfresco #finedining #vacation #wanderlust"
E,U,,,,,,,EU,"Earlier on
Venice
Italy 
December 2014
#travel #travel2014 #venice #italy #fernweh #wanderlust #gypsysoul"
E,U,,,,,,,EU,"Christmas Cheers from
Innsbruck
Austria
December 2014
#fernweh #wanderlust #travel #travel2014 #gypsysoul #innsbruck #austria"
E,U,,,,,,,EU,#Poland #Warszawa #travel2014 #Piwna # # #street #calle #beautifulcity  #ciudadhermosa #cidadebela # #Wawa #Warsaw
A,M,E,R,I,C,A,,AMERICA,"#Day305
V 2.0
Wishing you all a Merry Christmas! Cheers!  When in Innsbruck, Austria.
Our friendly travel coordinator arranged our Christmas dinner and treat us with bottles of wine and individual Christmas gift. How thoughtful! A Merry Christmas indeed! #accesstravelph
#100happydays 
#365daysofhappiness 
#inpursuitofhappydiorelle
#travel2014 #travel #fernweh #wanderlust #gypsysoul #innsbruck #austria"
O,T,H,E,R,S,,,OTHERS,Now boarding  Happy Christmas!
E,U,,,,,,,EU,#foodporn #freshseafood #Barcelona #streetphotography #LaBoqueria #foodmarket #travel #travel2014 #amazingfreshfood #Barcelona #BCN #exploreBarcelona #Euro #GasteropostYYC #fujifilm #x30
A,P,A,C,,,,,APAC,First smile at the Land of Smile... Sawadeee .. Safely landed.. Check In pun dah... Selfie sikit.. Good Night BKK..  Merry Christmass  #selfie #touchdown #bangkokdangerous #bangkok #travel2014 #traveller #travelogue #travellingdoctor #beaniess #smile #backpacker #backpacking2014 #lonelytraveller #asianguy #asianmen #iger #ig_malaysia #ig_thailand
A,M,E,R,I,C,A,,AMERICA,Joy to the world the LORD has come! #ChristmasEve #Christmas2014 #Christmas #Christian #church #CebuCity #Cebu #Philippines #basilica #travel2014 #travel
A,M,E,R,I,C,A,,AMERICA,"Special dedication to @liannapowell , a friend whom I had known on the plane heading to Australia 
We are two hours behind 
So, Merry X-mas in advance to You, Maddy and ur cool Mom 
Hope to see u girls again 
We were in deep love with Aussie and the people of course 
Merry Christmas ! 
Yeay !!! 
#australia #airasia #merryxmas #christmas2014 #christmas #travel2014 #goldcoast #brisbane #malaysia"
O,T,H,E,R,S,,,OTHERS,Lapad!! Pampaswerte sa wallet!! #xmasvacay #travel2014 #japanjapan #japan thanks Mom!!
A,P,A,C,,,,,APAC,Gardens by the bay
O,T,H,E,R,S,,,OTHERS,Plongee koh tao #plonger #plongee #koh #kohtao #tao #diving #thailande #travel2014 #thailand #travel #happy
A,M,E,R,I,C,A,,AMERICA,Christmas eve mass..  #ChristmasEve #Christmas #Christmas2014 #basilica #CebuCity #Cebu #travel2014 #travel #PhotoGrid
A,M,E,R,I,C,A,,AMERICA,Our Noche Buena! Merry Christmas  #foodporn #bangkokjam #travel2014 #christmas2014 #12242014
O,T,H,E,R,S,,,OTHERS,My outfit really fits this beautiful #flowerdome on to our next destination  #ootd #travel2014 #christmas2014 #12242014
A,P,A,C,,,,,APAC,Aktiviti tarik tali salju bersama rakan-rakan seperjuangan  #frozen #france #montblanc #winter #snow #travel2014 #scenery
O,T,H,E,R,S,,,OTHERS,Christmas Eve in a peaceful place.  #Christmas2k14 #Travel2014
O,T,H,E,R,S,,,OTHERS,12.24.2014: The Jetty Walk. #HoldfastBay #BrightonBeach #AussieLife #DailyGram #InstaSnaps #Adelaide #Travel2014 #Adelaide #Travel #UrbanTravels #MorningRun #Igs_Global #IgersADL
E,U,,,,,,,EU,"Neuf moments/lieux marquants de mon anne de voyages.
1-La Closerie des Lilas, Paris, France. 2-Fjord du Saguenay, Alfred le voisin d'Oscar, Anse-de-Roche, Sacr-Coeur, Qubec. 3-Muse Dali, Figures, Espagne. 4- Wahiba Sands, Oman. 5- Chicago, USA. 6-Parc de Sian Ka'an, Quintana Roo, Mexique. 7- Aiguilles de Port-Coton, Belle-le-en-mer, France. 8- Churchill, Manitoba, Canada. 9-Beaujolais, France. #2014inreview #9favesof2014 #travel2014"
A,M,E,R,I,C,A,,AMERICA,"""And suddenly there was with the angel a multitude of the heavenly host praising God, and saying, 'Glory to God in the highest, and on earth peace, good will toward men.' "" - Luke 2:13-14 #Christmas #Christmas2014 #VirginMary #BabyJesus #Angels #Christian #Catholic #Intramuros #IGMP2014 #travel2014 #travel #BibleVerse"
A,P,A,C,,,,,APAC,"Happy Holiday... Merry Christmass.. See you in Sin City 
#christmasstrip #bangkokdangerous #lonelytraveller #bangkok #thailand #travel2014 #travel2014 #travel2014 #travelgram #travelogue #travellingdoctor #backpacker #backpacking2014 #viaGoPro #GoPro4 #GoProMalaysia #wanderlust #globetrekker #asianguy #asianmen #iger #ig_malaysia #ig_thailand"
A,M,E,R,I,C,A,,AMERICA,Danggit and other dried fish overload! #travel2014 #travel #Taboan #CebuCity #Cebu #Danggit #ambahokona #Christmas #Christmas2014 #PhotoGrid
O,T,H,E,R,S,,,OTHERS,Bad Gal. #japan #jossa #japanjapan #travel2014 #shandiij
A,M,E,R,I,C,A,,AMERICA,"There are many Gifts under the Christmas tree, but the best one is the Gift of Friendship. Looking forward for more Travels, more Adventures, more FUNny moments for US in 2015. Merry Christmas!!! iloveyou! #merrychristmas #iSTAR #bff #friendsforever #missyouall #lovelovelove #prettyladies #thankful #blessed #travel2014 #adventures #fun #feelingloved #2014 #igers"
A,P,A,C,,,,,APAC,Goofing around #HumayunTomb #UNESCOWorldHeritage #IncredibleIndia #Delhi #India #Travel2014 #MeandtheWorld #HistoricalSite
O,T,H,E,R,S,,,OTHERS,12.24.2014: The Hump at Holdfast Bay. #HoldfastBay #Perspectives #AussieLife #UrbanTravels #MorningRun #BrightonBeach #Travel #Adelaide #Travel2014 #Adelaide2014 #SouthAustralia #DailyGram #InstaSnaps #Igs_Global #IgersADL
A,P,A,C,,,,,APAC,Picturesque #HumayunTomb #IncredibleIndia #India #Travel2014 #UNESCOWorldHeritage #Delhi #instatravel
E,U,,,,,,,EU,#amsterdam #airport #travel #travel2014 #Netherlands #holland #city #fujifilm #x30 #pictureinapicture #picoftheday
A,M,E,R,I,C,A,,AMERICA,Merry Christmas!! #japan #japanjapan #travel2014
A,M,E,R,I,C,A,,AMERICA,#christmas #illumination #vancouver #canada #travel2014
O,T,H,E,R,S,,,OTHERS,I'm your angel  #ootd #alivemuseum #travel2014 #familybonding #christmas2014 #12242014
A,M,E,R,I,C,A,,AMERICA,Definitely Yes! #welovevan #vancouver #canada #travel2014
A,M,E,R,I,C,A,,AMERICA,#dessert after #dinner #pistachio and #hazelnut #gelato #robsonst #vancouver #canada #travel2014
A,P,A,C,,,,,APAC,"Day22 of #24travelmoments : #Malacca, known as the ""Historical state of Malaysia"" and even one of the #UNESCO heritage, is one of the greatest attraction in Malaysia. Never did I know that I will set foot in the state of Malacca. Too bad we just stayed there for one afternoon. Would really love to stay and explore more of the Portuguese influenced state of Malacca. | August 2014 #24travelmoments @veerabianca"
A,P,A,C,,,,,APAC,"Loboc River, Bohol Philippines  #lobocriver #bohol #philippines #travel #wanderlust #vacay #bavstravel #travel2014 #bavsicle #thewayilivelife"
A,P,A,C,,,,,APAC,"Cruising at Loboc River while having lunch. Bohol, Philippines  #lobocriver #bohol #philippines #vacay #wanderlust #travel #bavstravel #bavsicle #travel2014 #thewayilivelife"
A,P,A,C,,,,,APAC,Chocolate Hills at Bohol Philippines  #chocolatehills #bohol #travel #wanderlust #vacay #bavstravel #travel2014 #thewayilivelife #bavsicle
O,T,H,E,R,S,,,OTHERS,None
A,M,E,R,I,C,A,,AMERICA,Finally saw this! ;) #MagellansCross #Cebu #CebuCity #Philippines #wowPhilippines #choosePhilippines #Christmas #travel #travel2014 #PhotoGrid
O,T,H,E,R,S,,,OTHERS,Amazing creatures #jellyfish #nofilter #notafoodpic #sentosaisland #travel2014 #singapore
A,P,A,C,,,,,APAC,Not all those who wander are lost  #travel2014 #friends #soulsisters #namethequote
A,P,A,C,,,,,APAC,Blood Compact Shrine at Bohol #travel #wanderlust #vacay #bohol #philippines #bavstravel #travel2014 #history #shrine
O,T,H,E,R,S,,,OTHERS,Waves after waves  #posemenatapmasadepan #turkey #travel2014 #vscocam #bosphorus
A,M,E,R,I,C,A,,AMERICA,12.23.2014: Good Bye Rundle Mall. #RundleMall #CityofAdelaide #Downtown #DailyGram #Perspectives #UrbanTravels #AussieLife #Adelaide #Travel2014 #Adelaide2014 #Travel #Igs_Global #IgsAU  #IgersADL #Tuesday
O,T,H,E,R,S,,,OTHERS,12.23.2014: The Malls Balls. #RundleMall #MallsBalls #DailyGram #Art #ArtADL #InstaSnaps #Travel2014 #Travel #Adelaide #Adelaide2014 #SouthAustralia #Igs_Global #IgsAU #IgersADL #AussieLife #UrbanTravels
A,P,A,C,,,,,APAC,City tour with @chrisbreeeeezy @bebishang @jeffreygarde  #bangkok #thailand #wanderlust #travel2014
A,M,E,R,I,C,A,,AMERICA,Good Morning!! Made with @instaweatherpro Free App! #instaweather #instaweatherpro #weather #wx #amagasaki #japan #day #winter #morning #cold #jp
O,T,H,E,R,S,,,OTHERS,Died and gone to durian heaven #duriansnowice #durianpuree #muchbetterthanshavedice #allformyself #travel2014 #singapore
A,M,E,R,I,C,A,,AMERICA,Good morning Cebu!  #travel #travel2014 #CebuCity #Cebu #Philippines #basilica #Christmas
O,T,H,E,R,S,,,OTHERS,"#podeaccar #brasil #riodejaneiro
#travel2014"
A,M,E,R,I,C,A,,AMERICA,Arrived in #Vancouver we went to #timhortons #canada #mapledipped #travel2014
E,U,,,,,,,EU,Doumo Milano##travel2014#italia#bucketlist#europe
E,U,,,,,,,EU,"Leaning Tower of Pisa
Pisa
Italy
December 2014
#wanderlust #fernweh #gypsysoul #DameTraveler #travel #travel2014 #pisa #italy"
E,U,,,,,,,EU,"Obligatory touristy shot.
Leaning Tower
Pisa
Italy
December 2014
#travel #travel2014 #fernweh #wanderlust #pisa #italy"
O,T,H,E,R,S,,,OTHERS,"#Day304
Obligatory Touristy shot.  #inpursuitofhappydiorelle 
#100happydays 
#365daysofhappiness
#accesstravelph"
A,P,A,C,,,,,APAC,The Intricate Carvings of #QutubMinar #UNESCOWorldHeritage #IncredibleIndia #Travel2014 #India #Delhi
O,T,H,E,R,S,,,OTHERS,Cold Day in #TajMahal #IncredibleIndia #7WondersoftheWorld #India #Travel2014
A,M,E,R,I,C,A,,AMERICA,"Because I'm a #spoiledbitch, for my 1st night in Osaka, MOM already gave me 2 Bags. Meet my very 1st KIPLING bag :) #shandiij #travel2014"
A,M,E,R,I,C,A,,AMERICA,Here we are! #Vancouver #canada #travel2014 #rainy #cold #fun
E,U,,,,,,,EU,"
#instalike #instachile #santiago #instasantiago #likeforlike #like4like #salvador #providencia #travel2014 #nice"
E,U,,,,,,,EU,Istanbul by night. #istanbul @nightsky #flightsky #istanbulbynight #travel2014 #travelbyartbytina
O,T,H,E,R,S,,,OTHERS,"Sailing on a calm sea backdropped by sunset orange was the majestic finale to our Apo Reef trip. Here, I randomly zoomed the lens and caught a lone ship at a distance. What seemed an abstract image became one of my favorite photos of our Mindoro trip. #throwback #travel2014"
A,F,R,I,C,A,,,AFRICA,Guess who we spotted at the Paloleum Beach DOLPHINS  #PaloleumBeach #travel2014 #holidays #boatrideventure #Dolphins in  #IndianSea #instagoa #instaindia #instamumbai #instagramqatar #wild #Dolphins
O,T,H,E,R,S,,,OTHERS,Ang Dyosa ng Osaka. #japanjapan  #travel2014 @renedurian @abs_catherinecc @eichef @gabyoyah @vanjuniel Haha!!
A,P,A,C,,,,,APAC,Beautiful park going to Temple of Heaven more on walkwithcham.com #walkwithcham #templeofheaven #beijing #beijinger #Beijing2014 #china #asia #travel #traveler #travel2014 #travelblog #travelblogger #travelgram #igtravel #wanderlust #ootd #winterootd #winter #blog #blogger
O,T,H,E,R,S,,,OTHERS,Guess where 102 @gmaeyou #NYCTRIP #TRAVEL2014
O,T,H,E,R,S,,,OTHERS,Guess where lol @gmaeyou @thewinternerd90  #NYCTRIP #TRAVEL2014
A,P,A,C,,,,,APAC,#VSCOcam #latepost #saigon #post #travel2014 #Architecture #Vietnam #trip #vietnamtrip #throwback
A,P,A,C,,,,,APAC,I wake up to your sunset and it's drivin' me mad I miss you so bad and my heart is so jet-lagged.  #np #travel2014 #TBT #ph
A,M,E,R,I,C,A,,AMERICA,A trip filled with so much fun and laughter all thanks to these 2 jokers. Had such a fab time. Thank u for hosting and bringing us around!! Cheers to more trips in the future!! #manchester #funtimes #travel2014 #seljeantravels #winter2014 #vscocam
A,M,E,R,I,C,A,,AMERICA,Happy family by the elevator!  #family #celebration #Cebu #CebuCity #travel #travel2014 #Christmas #Birthday #CrownRegency #WangShanLo #ClubUltima #nofilter
A,P,A,C,,,,,APAC,#selfie with the birds of Batu Caves #travel2014 #flashback #malaysia #smile
A,M,E,R,I,C,A,,AMERICA,Up close and personal with the Barbary Sheep at the #TarongaZoo . #travel2014 #XmasinAus2014 #nofilter
A,M,E,R,I,C,A,,AMERICA,A magical night! Such a beauty! Can't wait to see more tomorrow #gardensbythebay #travel2014 #christmas2014 #12232014
A,M,E,R,I,C,A,,AMERICA,Driving into the setting sun #Pondicherry #RoadTripping #Pondi2014 #SouthIndia #WindInMyFace #Sunset #PerfectWeather #HolidayTime #Drive #Sun #Travel2014
A,M,E,R,I,C,A,,AMERICA,The Ruins at night time. #BacolodPH #travel2014
A,M,E,R,I,C,A,,AMERICA,Happy holidays hk!... #hongkong2014 #travel2014 #wanderlust
A,P,A,C,,,,,APAC,High tea in the street of the well known shopping district in Singapore  #travel2014 #christmas2014 #orchard #12232014
A,P,A,C,,,,,APAC,"Day 21 of #24travelmoments : This is not your typical white sandy beach, instead it is a pebble beach. Rarely you can see a pebble beach in the shores of the Philippines. And look how secluded the area is!  Really a good place to meditate and reflect. | July 2014 #24travelmoments @veerabianca"
